dateConvention,referenceDecision,idBeneficiaire,nomBeneficiaire,objet,montant,nature,conditionsVersement,datesPeriodeVersement,notificationUE,field,value,message,lineRejected
2024-06-12,Délibération CP du 26/04/2024,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,une aide au fonctionnement,50000.0,en numéraire,unique,2024-06-12_2024-06-12,non,idBeneficiaire,3805449320029.0,SIRET du bénéficiaire manquant ou invalide,oui
2024-06-12,Délibération CP du 26/04/2024,3805449320029.0,Association Théâtre+Cinéma Scène nationale Grand Narbonne,une aide au fonctionnement,50000.0,en numéraire,unique,2024-06-12_2024-06-12,non,,,SIRET de l'allocataire manquant ou invalide,oui
2024-06-26,Délibération CP du 31/05/2024,35338402700036.0,Association Groupe de recherche et d'animation photographique,"une aide au projet ""Olympiades culturelles"" dans les collèges",7780.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-04-24,Délibération CP du 29/03/2024,31559024000034.0,CAUE,subvention de fonctionnement 2024,945612.0,en numéraire,échelonné,2024-04-03_2024-12-31,,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,45074466900042.0,Association Music Al Sol,une aide à la saison,10000.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-04-29,Délibération CP du 26/04/2024,77578419200045.0,Francas de l'Aude,"Soutien à l’animation d’un réseau départemental d’animateurs ados
porté par l’association ""Les Francas de l’Aude""",1500.0,en numéraire,échelonné,2024-05-10_2024-12-10,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,45074466900042.0,Association Music Al Sol,"une aide à l'action ""Chaque voix compte""",1500.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-04-29,Délibération CP du 26/04/2024,33294416400034.0,association Acti City - Information Jeunesse,"Information des jeunes, accès à la culture, aux loisirs, et aux sports, accompagnement des jeunes dans leur accès à l'autonomie",360000.0,en numéraire,échelonné,2024-05-10_2024-12-10,oui,,,SIRET de l'allocataire manquant ou invalide,non
2023-04-04,Délibération CP 15/12/2023,42429715800018.0,Association Chambéry Solidarité Internationale,Subvention pour la mise en œuvre d'un projet de coopération décentralisée,90000.0,en numéraire,échelonné,2023-01-01_ 2025-01-31,,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-04,Délibération CP du 26/04/2024,78281567400042.0,Léo Lagrange Méditerranée,"Subvention de fonction 2024
Actions permanences surendettement + Ateliers essentiels de consommation",58000.0,en numéraire,échelonné,20/06/2024_2024-10-30,oui,datesPeriodeVersement,20/06/2024_2024-10-30,donnée non récupérable,
2024-06-04,Délibération CP du 26/04/2024,78281567400042.0,Léo Lagrange Méditerranée,"Subvention de fonction 2024
Actions permanences surendettement + Ateliers essentiels de consommation",58000.0,en numéraire,échelonné,20/06/2024_2024-10-30,oui,datesPeriodeVersement,20/06/2024_2024-10-30,donnée non récupérable,
2024-06-04,Délibération CP du 26/04/2024,78281567400042.0,Léo Lagrange Méditerranée,"Subvention de fonction 2024
Actions permanences surendettement + Ateliers essentiels de consommation",58000.0,en numéraire,échelonné,20/06/2024_2024-10-30,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-14,Délibération CP du 31/05/2024,77555567500252.0,ADEPEP - Maison des Ados 11,"Subvention de fonction 2024 
(avenant financier 2024)",70000.0,en numéraire,échelonné,2024-07-01_2025-04-30,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,77555566700010.0,FAOL,"une aide au projet ""Ravage les âmes éparses""",1000.0,en numéraire,unique,2024-06-18_2024-06-18,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-04-16,Délibération CP du 29/03/2024,41224378400011.0,Association Ciném'Aude,une aide à la diffusion d'œuvres cinématographiques,75000.0,en numéraire,unique,2024-04-16_2024-04-16,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,33947067600034.0,Association Théâtre Populaire,Mise à disposition du technicien du Département,20800.0,en nature,autre,2024-01-01_2024-12-31,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-12-03,Délibération CP du 29/11/2024,40296541200016.0,La claranda,Actions complementaires,5000.0,en numéraire,unique,2024-12-10_2024-12-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-18,Délibération CP du 31/05/2024,42335282200021.0,Fédération départementale des calendretas,"une aide à la réalisation du programme d'activités des Calendretas : ""Label Oc""",10000.0,en numéraire,unique,2024-07-23_2024-07-23,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-05-23,Délibération CP du 26/04/2024,39301786800059.0,Fédération Aude Claire,Subvention CPO Fédération Aude Claire,27600.0,en numéraire,échelonné,2024-05-23_2025-11-26,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-18,Délibération CP du 31/05/2024,35108335700068.0,Association Le théâtre dans les vignes,"Aide pour un lieu relais théâtre, danse et cirque inscrit dans un réseau du spectacle vivant",22000.0,en numéraire,unique,2024-06-18_2024-06-18,non,,,SIRET de l'allocataire manquant ou invalide,non
2023-06-02,Deliberation CP du 28-04-2023,78281567400042.0,La Délégation Languedoc-Roussillon Léo Lagrange Méditerranée,"Subvention de fonction 2023 - Atelier ""Les essentiels de la consommation""",4260.0,en numéraire,échelonné,2023-06-02_2023-10-30,oui,,,SIRET de l'allocataire manquant ou invalide,non
2024-07-08,Délibération CP du 31/05/2024,40296541200016.0,Association La Claranda,une aide aux ateliers de créations sonores au collège,2500.0,en numéraire,unique,2024-07-10_2024-07-10,non,,,SIRET de l'allocataire manquant ou invalide,non
2024-06-26,Délibération CP du 31/05/2024,35338402700036.0,Association Groupe de recherche et d'animation photographique,"une aide à la programmation artistique culturelle, sociale et éducative",11000.0,en numéraire,unique,2024-06-27_2024-06-27,non,,,SIRET de l'allocataire manquant ou invalide,non
